domain,company,total_results,ai_signal_hits,signal_snippets,status
scale.ai,Scale,10,3,"Software Engineer, AI/ML (Infrastructure & Platform) | [Advice] Is Data Engineering a Safe Career Choice in ...",✅
cohere.com,Cohere,9,7,"Cohere hiring Data Engineer in New York, NY | Data Engineer, Cohere",✅
mistral.ai,Mistral,9,7,"Mistral AI - Data Engineer | Data Engineer, Mistral AI",✅
together.ai,Together,9,8,[Advice] Is Data Engineering a Safe Career Choice in ... | Principal AI /Machine Learning Data Engineer - Remote or ...,✅
perplexity.ai,Perplexity,10,3,Software Engineer - Data Visualization - Perplexity | Analytics Engineer - SF Job,✅
anyscale.com,Anyscale,10,1,Components of an Open Source AI Compute Tech Stack,✅
langchain.com,Langchain,9,5,"Ai Engineer Langchain Jobs, Employment | **What candidates are saying about trying to land an AI job ",✅
llamaindex.ai,Llamaindex,10,5,8 Llamaindex jobs | LlamaIndex,✅
fixie.ai,Fixie,10,5,"Farzad Abdolhosseini - Machine Learning Engineer | Senior Data Engineer Jobs, Employment in Houston, TX",✅
adept.ai,Adept,9,7,"New Grad Data Engineer Jobs in Monroe, NY (NOW HIRING) | How AI will disrupt data engineering as we know it",✅
