domain,company,total_results,ai_signal_hits,signal_snippets,status,score,reasons,score_normalized,tier,rank
together.ai,Together,9,8,[Advice] Is Data Engineering a Safe Career Choice in ... | Principal AI /Machine Learning Data Engineer - Remote or ...,✅,86,Heavy AI hiring activity (8/9 signals) | High web presence — active company | Very high number of AI engineering signals,100.0,🔴 HOT,1
cohere.com,Cohere,9,7,"Cohere hiring Data Engineer in New York, NY | Data Engineer, Cohere",✅,81,Heavy AI hiring activity (7/9 signals) | High web presence — active company | Very high number of AI engineering signals,94.2,🔴 HOT,2
mistral.ai,Mistral,9,7,"Mistral AI - Data Engineer | Data Engineer, Mistral AI",✅,81,Heavy AI hiring activity (7/9 signals) | High web presence — active company | Very high number of AI engineering signals,94.2,🔴 HOT,3
adept.ai,Adept,9,7,"New Grad Data Engineer Jobs in Monroe, NY (NOW HIRING) | How AI will disrupt data engineering as we know it",✅,81,Heavy AI hiring activity (7/9 signals) | High web presence — active company | Very high number of AI engineering signals,94.2,🔴 HOT,4
langchain.com,Langchain,9,5,"Ai Engineer Langchain Jobs, Employment | **What candidates are saying about trying to land an AI job ",✅,62,Heavy AI hiring activity (5/9 signals) | High web presence — active company | Strong AI engineering signal count,72.1,🔴 HOT,5
llamaindex.ai,Llamaindex,10,5,8 Llamaindex jobs | LlamaIndex,✅,60,Moderate AI hiring activity (5/10 signals) | High web presence — active company | Strong AI engineering signal count,69.8,🟡 WARM,6
fixie.ai,Fixie,10,5,"Farzad Abdolhosseini - Machine Learning Engineer | Senior Data Engineer Jobs, Employment in Houston, TX",✅,60,Moderate AI hiring activity (5/10 signals) | High web presence — active company | Strong AI engineering signal count,69.8,🟡 WARM,7
scale.ai,Scale,10,3,"Software Engineer, AI/ML (Infrastructure & Platform) | [Advice] Is Data Engineering a Safe Career Choice in ...",✅,42,High web presence — active company | Some AI engineering signals detected,48.8,🟡 WARM,8
perplexity.ai,Perplexity,10,3,Software Engineer - Data Visualization - Perplexity | Analytics Engineer - SF Job,✅,42,High web presence — active company | Some AI engineering signals detected,48.8,🟡 WARM,9
anyscale.com,Anyscale,10,1,Components of an Open Source AI Compute Tech Stack,✅,24,High web presence — active company,27.9,🟢 COLD,10
